Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,9/19/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Central African Republic,CAF,"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.61669915,,,,,,
Central African Republic,CAF,Battle-related deaths (number of people),VC.BTL.DETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,131,,,,46,,,88,47,48,45,417,153,27,,35,103,51,57,928,
Central African Republic,CAF,Voice and Accountability: Percentile Rank,VA.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,,29.85074615,,28.85572052,,19.90049744,11.94029808,10.57692337,19.71153831,19.71153831,16.82692337,20.19230843,19.9052124,15.63981056,16.90140915,14.55399036,7.042253494,8.866994858,13.79310322,19.21182251,17.24137878,14.97584534,14.97584534,13.52657032,15.942029,
Central African Republic,CAF,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,74.76246106,69.74082449,44.46998124,44.07207207,61.37762238,59.46080554,70.21465581,64.13886384,61.71722954,41.19753498,34.37745098,32.45910678,39.82015893,50.86064707,33.51927633,36.19047619,34.07299876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,,,,,,,,,,,,,,,,,,3.894080997,4.905200905,16.65103189,5.045045045,5.41958042,7.600692941,5.47742413,4.328223625,6.105705018,12.12524983,9.395424837,15.12589598,22.12463404,14.29477691,17.81175964,14.28571429,12.463708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,14.38848921,0,,0.909090909,3.114186851,3.448275862,1.618122977,2.076124567,0.852272727,5.579278571,18.04672211,28.42936371,11.26679076,7.790202343,12.20871432,9.602136634,11.46983422,16.66789659,25.17640496,21.8807351,19.97827511,30.13904019,24.67409029,31.75464911,42.82289412,30.86820899,36.07776202,45.47565255,46.17145706,48.7576281,23.63590304,83.01104474,80.14777886,80.54592067,88.72412804,77.53047859,57.72676427,65.26106848,-3.72E-09,-6.64E-09,0.005039348,0.057014327,0.55443596,0.001244183,0.014143522,0.063816787,0.153477937,0.002134488,0.059277977,0.061041387,0.067200184,0.048692692,0.039877313,0.060533872,0.105159735,0.01227679,0.015261709,0.000499394,0.000535667,0.000391606,0.000172535,,
Central African Republic,CAF,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0218918,0.495874295,,0.020830443,0.023090827,0.025577103,0.006937594,,,,0.005855536,,0.299018045,0.742343683,2.70847751,0.856360229,0.22659368,0.444985709,0.534202277,0.265429623,0.372104209,1.174908716,0.753033459,2.154033843,0.280383996,0.178093874,0.169683674,0.420898471,1.04823334,0.195728771,0.546819123,0.231321701,1.093786291,0.950938038,0.7036377,,
Central African Republic,CAF,Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,74.82014388,100,,95,95.15570934,93.8697318,96.76375405,95.5017301,98.57954545,88.48185189,75.24767613,68.046335,83.32243296,87.02076677,81.94802782,76.17483096,83.60622116,80.07158143,70.98731,75.72089398,77.86044346,68.18591793,70.58565904,67.87103283,51.68051579,65.57598995,61.31182141,52.34111445,52.25194697,42.66038126,15.6273515,11.39303331,11.62216634,14.48883699,8.393805005,17.98377688,33.09240192,28.79333156,90.52171083,83.97193147,93.86634114,94.34951424,94.67669058,94.61006016,50.76977116,82.10519745,87.60595695,81.4818076,74.32103723,83.79135975,87.17272583,65.01187134,76.38676602,74.61673638,66.97741461,84.58451968,44.73799169,66.79624485,58.84151273,61.00212244,55.87264388,,
Central African Republic,CAF,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,,,21.07945156,49.5953446,43.46285597,54.46029492,53.58601161,47.30162861,53.46785764,47.94847868,44.28411398,37.78440035,,33.09124358,21.71443351,23.73231538,17.67532254,23.89209682,37.60888849,44.48683331,26.16583822,,,,,,,,,,,,,39.37845417,42.43588253,44.50904039,48.59215426,36.02634985,58.82723854,60.84274365,68.22084357,48.97330851,47.88963234,36.62719305,16.43628875,37.80275916,48.07446588,21.78424473,11.21164839,2.663425563,3.110069555,4.122377401,8.332355255,7.138195365,0.656019149,80.17980649,63.51347407,81.54418241,51.90306121,74.88976586,39.29639592,,
Central African Republic,CAF,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,35.94397009,19.11944416,31.88666522,20.73983159,26.24612256,24.15241107,17.49952985,17.89107451,26.2812496,27.27222981,,16.73032073,31.50544971,25.65122014,37.30130365,43.01493156,32.48936841,29.24820537,30.98212628,,,,,,,,,,,,,5.271725227,4.171851371,4.21129046,1.253948578,2.176881757,5.713815834,12.27265317,10.6474181,2.711326253,2.126185648,1.385713517,1.889706942,0.835466374,0.2498272,2.699542219,1.440908248,3.542371334,1.524089723,1.208083507,0.431091,0.125905983,0.102848986,0.521337955,0.350551284,1.38350578,0.208240815,0.584772467,0.720790424,,
